S.no.,Date,Open,High,Low,Close,neg,pos
46,2009-08-03,9173.65,9298.43,9173.65,9286.56,0.6287,0.3713
47,2009-08-04,9285.05,9321.1,9250.74,9320.19,0.6419,0.3581
48,2009-08-05,9315.36,9318.08,9206.45,9280.97,0.657,0.343
49,2009-08-06,9277.19,9325.11,9208.8,9256.26,0.6311,0.3689
50,2009-08-07,9258.45,9437.71,9258.45,9370.07,0.662,0.338
51,2009-08-08,9313.43,9404.83,9274.4,9354.01,0.6199,0.3801
52,2009-08-09,9340.92,9388.4,9282.37,9345.98,0.6499,0.3501
53,2009-08-10,9368.41,9371.96,9290.34,9337.95,0.646,0.354
54,2009-08-11,9334.33,9334.33,9216.88,9241.45,0.6321,0.3679
55,2009-08-12,9236.06,9424.11,9221.02,9361.61,0.6409,0.3591
56,2009-08-13,9362.29,9406.5,9305.31,9398.19,0.6335,0.3665
57,2009-08-14,9398.04,9401.97,9232.83,9321.4,0.6501,0.3499
58,2009-08-15,9355.94,9357.91,9174.67,9228.37,0.6536,0.3464
59,2009-08-16,9334.9,9335.88,9145.6,9181.85,0.6502,0.3498
60,2009-08-17,9313.85,9313.85,9116.52,9135.34,0.6649,0.3351
61,2009-08-18,9134.36,9233.51,9134.36,9217.94,0.6448,0.3552
62,2009-08-19,9208.68,9313.09,9131.94,9279.16,0.651,0.349
63,2009-08-20,9278.55,9363.95,9267.97,9350.05,0.6499,0.3501
64,2009-08-21,9347.86,9519.11,9347.25,9505.96,0.6329,0.3671
65,2009-08-22,9427.02,9553.42,9416.74,9507.62,0.6354,0.3646
66,2009-08-23,9466.6,9570.58,9451.49,9508.45,0.6385,0.3615
67,2009-08-24,9506.18,9587.73,9486.23,9509.28,0.6623,0.3377
68,2009-08-25,9509.21,9620,9508.98,9539.29,0.6603,0.3397
69,2009-08-26,9538.61,9582.97,9485.78,9543.52,0.6586,0.3414
70,2009-08-27,9541.63,9609.72,9459.4,9580.63,0.6794,0.3206
71,2009-08-28,9582.74,9630.2,9495.98,9544.2,0.664,0.336
72,2009-08-29,9562.83,9586.63,9466.06,9520.24,0.633,0.367
73,2009-08-30,9552.87,9564.84,9451.09,9508.26,0.6445,0.3555
74,2009-08-31,9542.91,9543.06,9436.13,9496.28,0.6461,0.3539
75,2009-09-01,9492.32,9557.95,9292.08,9310.6,0.6786,0.3214
76,2009-09-02,9306.21,9330.93,9262.3,9280.67,0.6772,0.3228
77,2009-09-03,9282.03,9350.27,9252.93,9344.61,0.6318,0.3682
78,2009-09-04,9345.36,9445.72,9321.63,9441.27,0.663,0.337
79,2009-09-05,9392.74,9478.37,9380.81,9469.31,0.6465,0.3535
80,2009-09-06,9416.43,9494.69,9410.4,9483.33,0.6631,0.3369
81,2009-09-07,9428.28,9502.85,9425.19,9490.33,0.6372,0.3628
82,2009-09-08,9440.13,9511.02,9439.98,9497.34,0.6573,0.3427
83,2009-09-09,9496.59,9577.22,9476.18,9547.22,0.6512,0.3488
